編號,年份,月,日,星期,號碼1,號碼2,號碼3,號碼4,號碼5
200700109,2007,05,31,4,21 , 28 , 33 , 35 , 38,
200700110,2007,06,01,5,01 , 03 , 07 , 13 , 28,
200700111,2007,06,04,1,04 , 07 , 13 , 32 , 36,
200700112,2007,06,05,2,06 , 08 , 18 , 25 , 35,
200700113,2007,06,06,3,07 , 20 , 21 , 28 , 33,
200700114,2007,06,07,4,01 , 07 , 18 , 19 , 21,
200700115,2007,06,08,5,01 , 07 , 10 , 16 , 37,
200700116,2007,06,11,1,07 , 14 , 27 , 29 , 30,
200700117,2007,06,12,2,05 , 15 , 23 , 27 , 34,
200700118,2007,06,13,3,01 , 02 , 03 , 20 , 25,
200700119,2007,06,14,4,06 , 10 , 12 , 26 , 39,
200700120,2007,06,15,5,02 , 12 , 23 , 25 , 27,
200700121,2007,06,18,1,02 , 03 , 05 , 12 , 16,
200700122,2007,06,19,2,01 , 06 , 08 , 10 , 28,
200700123,2007,06,20,3,07 , 11 , 12 , 23 , 38,
200700124,2007,06,21,4,18 , 19 , 28 , 35 , 39,
200700125,2007,06,22,5,09 , 11 , 20 , 22 , 25,
200700126,2007,06,25,1,20 , 22 , 23 , 24 , 34,
200700127,2007,06,26,2,01 , 04 , 15 , 25 , 33,
200700128,2007,06,27,3,03 , 06 , 14 , 20 , 21,
200700129,2007,06,28,4,01 , 19 , 22 , 35 , 36,
200700130,2007,06,29,5,25 , 31 , 33 , 34 , 37,
200700131,2007,07,02,1,03 , 13 , 21 , 28 , 32,
200700132,2007,07,03,2,15 , 17 , 23 , 25 , 38,
200700133,2007,07,04,3,10 , 17 , 18 , 19 , 29,
200700134,2007,07,05,4,01 , 02 , 11 , 23 , 37,
200700135,2007,07,06,5,06 , 31 , 34 , 35 , 39,
200700136,2007,07,09,1,08 , 12 , 24 , 34 , 35,
200700137,2007,07,10,2,01 , 08 , 12 , 19 , 29,
200700138,2007,07,11,3,05 , 14 , 19 , 20 , 29,
200700139,2007,07,12,4,08 , 13 , 21 , 27 , 32,
200700140,2007,07,13,5,01 , 03 , 20 , 26 , 31,
200700141,2007,07,16,1,15 , 16 , 22 , 35 , 39,
200700142,2007,07,17,2,05 , 17 , 23 , 27 , 30,
200700143,2007,07,18,3,03 , 21 , 24 , 33 , 34,
200700144,2007,07,19,4,01 , 06 , 19 , 24 , 37,
200700145,2007,07,20,5,17 , 25 , 34 , 35 , 38,
200700146,2007,07,23,1,03 , 11 , 15 , 20 , 36,
200700147,2007,07,24,2,05 , 12 , 19 , 28 , 34,
200700148,2007,07,25,3,01 , 09 , 10 , 19 , 21,
200700149,2007,07,26,4,07 , 20 , 24 , 33 , 34,
200700150,2007,07,27,5,08 , 11 , 12 , 18 , 21,
200700151,2007,07,30,1,04 , 08 , 12 , 15 , 20,
200700152,2007,07,31,2,07 , 14 , 17 , 37 , 39,
200700153,2007,08,01,3,04 , 09 , 28 , 32 , 36,
200700154,2007,08,02,4,09 , 15 , 21 , 35 , 39,
200700155,2007,08,03,5,04 , 08 , 12 , 13 , 32,
200700156,2007,08,06,1,02 , 08 , 13 , 33 , 36,
200700157,2007,08,07,2,09 , 10 , 23 , 31 , 36,
200700158,2007,08,08,3,07 , 11 , 12 , 27 , 29,
200700159,2007,08,09,4,02 , 09 , 22 , 24 , 38,
200700160,2007,08,10,5,13 , 16 , 17 , 26 , 33,
200700161,2007,08,13,1,01 , 15 , 24 , 29 , 31,
200700162,2007,08,14,2,04 , 15 , 25 , 26 , 36,
200700163,2007,08,15,3,05 , 12 , 28 , 30 , 32,
200700164,2007,08,16,4,07 , 14 , 29 , 30 , 35,
200700165,2007,08,17,5,05 , 16 , 23 , 30 , 35,
200700166,2007,08,20,1,04 , 17 , 23 , 26 , 28,
200700167,2007,08,21,2,01 , 07 , 19 , 26 , 29,
200700168,2007,08,22,3,03 , 17 , 22 , 31 , 34,
200700169,2007,08,23,4,04 , 07 , 16 , 20 , 28,
200700170,2007,08,24,5,02 , 07 , 12 , 16 , 39,
200700171,2007,08,27,1,10 , 12 , 19 , 23 , 36,
200700172,2007,08,28,2,04 , 07 , 14 , 29 , 36,
200700173,2007,08,29,3,15 , 18 , 25 , 32 , 34,
200700174,2007,08,30,4,07 , 14 , 25 , 28 , 37,
200700175,2007,08,31,5,14 , 20 , 22 , 27 , 29,
200700176,2007,09,03,1,12 , 18 , 24 , 27 , 33,
200700177,2007,09,04,2,05 , 07 , 18 , 24 , 35,
200700178,2007,09,05,3,01 , 28 , 31 , 34 , 38,
200700179,2007,09,06,4,08 , 19 , 28 , 31 , 33,
200700180,2007,09,07,5,02 , 19 , 23 , 30 , 37,
200700181,2007,09,10,1,13 , 19 , 28 , 32 , 37,
200700182,2007,09,11,2,04 , 21 , 27 , 35 , 38,
200700183,2007,09,12,3,07 , 10 , 17 , 23 , 35,
200700184,2007,09,13,4,01 , 03 , 10 , 15 , 26,
200700185,2007,09,14,5,11 , 23 , 24 , 36 , 39,
200700186,2007,09,17,1,16 , 24 , 25 , 26 , 30,
200700187,2007,09,18,2,01 , 11 , 13 , 24 , 27,
200700188,2007,09,19,3,04 , 06 , 17 , 24 , 37,
200700189,2007,09,20,4,07 , 13 , 20 , 25 , 26,
200700190,2007,09,21,5,12 , 17 , 24 , 34 , 38,
200700191,2007,09,24,1,02 , 03 , 31 , 36 , 37,
200700192,2007,09,25,2,01 , 17 , 19 , 27 , 36,
200700193,2007,09,26,3,08 , 31 , 32 , 33 , 37,
200700194,2007,09,27,4,06 , 11 , 12 , 16 , 33,
200700195,2007,09,28,5,04 , 09 , 17 , 26 , 37,
200700196,2007,10,01,1,02 , 28 , 31 , 33 , 35,
200700197,2007,10,02,2,01 , 08 , 22 , 23 , 26,
200700198,2007,10,03,3,01 , 05 , 08 , 12 , 24,
200700199,2007,10,04,4,02 , 06 , 24 , 35 , 36,
200700200,2007,10,05,5,08 , 11 , 25 , 34 , 39,
200700201,2007,10,08,1,14 , 16 , 19 , 21 , 34,
200700202,2007,10,09,2,05 , 07 , 12 , 22 , 26,
200700203,2007,10,10,3,01 , 08 , 22 , 24 , 27,
200700204,2007,10,11,4,04 , 18 , 23 , 26 , 36,
200700205,2007,10,12,5,01 , 12 , 13 , 17 , 23,
200700206,2007,10,15,1,09 , 10 , 17 , 18 , 31,
200700207,2007,10,16,2,11 , 15 , 20 , 22 , 34,
200700208,2007,10,17,3,03 , 07 , 18 , 19 , 23,
200700209,2007,10,18,4,11 , 13 , 21 , 22 , 31,
200700210,2007,10,19,5,07 , 22 , 27 , 29 , 32,
200700211,2007,10,22,1,01 , 13 , 18 , 23 , 33,
200700212,2007,10,23,2,03 , 04 , 09 , 22 , 39,
200700213,2007,10,24,3,01 , 03 , 17 , 29 , 31,
200700214,2007,10,25,4,09 , 11 , 16 , 20 , 31,
200700215,2007,10,26,5,17 , 19 , 23 , 29 , 37,
200700216,2007,10,29,1,03 , 04 , 17 , 32 , 39,
200700217,2007,10,30,2,03 , 04 , 06 , 22 , 27,
200700218,2007,10,31,3,15 , 23 , 28 , 35 , 36,
200700219,2007,11,01,4,09 , 12 , 14 , 22 , 30,
200700220,2007,11,02,5,01 , 04 , 05 , 30 , 31,
200700221,2007,11,05,1,12 , 26 , 28 , 31 , 38,
200700222,2007,11,06,2,09 , 26 , 32 , 33 , 37,
200700223,2007,11,07,3,06 , 12 , 20 , 21 , 30,
200700224,2007,11,08,4,23 , 24 , 25 , 29 , 36,
200700225,2007,11,09,5,02 , 12 , 18 , 28 , 36,
200700226,2007,11,12,1,30 , 33 , 34 , 36 , 37,
200700227,2007,11,13,2,05 , 06 , 16 , 18 , 29,
200700228,2007,11,14,3,02 , 09 , 24 , 31 , 39,
200700229,2007,11,15,4,06 , 21 , 29 , 35 , 37,
200700230,2007,11,16,5,01 , 05 , 10 , 19 , 32,
200700231,2007,11,19,1,10 , 17 , 19 , 20 , 25,
200700232,2007,11,20,2,07 , 25 , 32 , 34 , 36,
200700233,2007,11,21,3,06 , 10 , 17 , 20 , 38,
200700234,2007,11,22,4,04 , 12 , 15 , 30 , 38,
200700235,2007,11,23,5,07 , 13 , 16 , 24 , 31,
200700236,2007,11,26,1,05 , 12 , 19 , 29 , 30,
200700237,2007,11,27,2,05 , 11 , 12 , 19 , 34,
200700238,2007,11,28,3,01 , 06 , 11 , 14 , 28,
200700239,2007,11,29,4,12 , 15 , 24 , 29 , 38,
200700240,2007,11,30,5,03 , 09 , 27 , 32 , 35,
200700241,2007,12,03,1,03 , 11 , 24 , 28 , 31,
200700242,2007,12,04,2,11 , 15 , 32 , 36 , 39,
200700243,2007,12,05,3,03 , 08 , 09 , 11 , 36,
200700244,2007,12,06,4,11 , 14 , 29 , 32 , 39,
200700245,2007,12,07,5,15 , 16 , 22 , 24 , 28,
200700246,2007,12,10,1,02 , 07 , 18 , 19 , 38,
200700247,2007,12,11,2,15 , 20 , 21 , 24 , 35,
200700248,2007,12,12,3,10 , 19 , 27 , 36 , 38,
200700249,2007,12,13,4,07 , 13 , 22 , 26 , 32,
200700250,2007,12,14,5,02 , 14 , 15 , 28 , 37,
200700251,2007,12,17,1,02 , 08 , 13 , 24 , 26,
200700252,2007,12,18,2,07 , 21 , 24 , 30 , 36,
200700253,2007,12,19,3,06 , 07 , 13 , 27 , 39,
200700254,2007,12,20,4,13 , 16 , 24 , 29 , 30,
200700255,2007,12,21,5,01 , 02 , 30 , 37 , 38,
200700256,2007,12,24,1,19 , 31 , 34 , 36 , 37,
200700257,2007,12,25,2,02 , 04 , 13 , 22 , 28,
200700258,2007,12,26,3,01 , 11 , 18 , 20 , 33,
200700259,2007,12,27,4,01 , 03 , 04 , 19 , 26,
200700260,2007,12,28,5,01 , 02 , 14 , 22 , 30,
200700261,2007,12,31,1,11 , 12 , 20 , 25 , 37,
200800001,2008,01,01,2,11 , 26 , 31 , 35 , 37,
200800002,2008,01,02,3,02 , 09 , 10 , 24 , 30,
200800003,2008,01,03,4,18 , 28 , 32 , 33 , 38,
200800004,2008,01,04,5,07 , 17 , 20 , 28 , 36,
200800005,2008,01,07,1,02 , 11 , 18 , 19 , 21,
200800006,2008,01,08,2,01 , 12 , 19 , 20 , 35,
200800007,2008,01,09,3,04 , 09 , 16 , 19 , 29,
200800008,2008,01,10,4,01 , 08 , 11 , 22 , 39,
200800009,2008,01,11,5,04 , 08 , 27 , 30 , 32,
200800010,2008,01,14,1,04 , 19 , 34 , 35 , 38,
200800011,2008,01,15,2,05 , 11 , 16 , 21 , 26,
200800012,2008,01,16,3,09 , 10 , 11 , 23 , 30,
200800013,2008,01,17,4,02 , 20 , 35 , 37 , 38,
200800014,2008,01,18,5,05 , 15 , 31 , 32 , 36,
200800015,2008,01,21,1,01 , 11 , 23 , 26 , 29,
200800016,2008,01,22,2,01 , 04 , 07 , 17 , 23,
200800017,2008,01,23,3,01 , 03 , 04 , 11 , 28,
200800018,2008,01,24,4,01 , 08 , 12 , 26 , 37,
200800019,2008,01,25,5,02 , 08 , 15 , 17 , 20,
200800020,2008,01,28,1,02 , 13 , 28 , 32 , 36,
200800021,2008,01,29,2,01 , 04 , 09 , 10 , 29,
200800022,2008,01,30,3,01 , 16 , 17 , 28 , 37,
200800023,2008,01,31,4,01 , 02 , 17 , 24 , 35,
200800024,2008,02,01,5,03 , 10 , 23 , 34 , 37,
200800025,2008,02,04,1,03 , 12 , 23 , 26 , 34,
200800026,2008,02,05,2,01 , 04 , 10 , 18 , 31,
200800027,2008,02,06,3,04 , 17 , 18 , 29 , 33,
200800028,2008,02,07,4,06 , 30 , 32 , 33 , 34,
200800029,2008,02,08,5,03 , 10 , 11 , 34 , 38,
200800030,2008,02,11,1,13 , 18 , 25 , 37 , 38,
200800031,2008,02,12,2,01 , 10 , 12 , 28 , 38,
200800032,2008,02,13,3,14 , 28 , 34 , 36 , 37,
200800033,2008,02,14,4,03 , 04 , 10 , 36 , 39,
200800034,2008,02,15,5,01 , 24 , 26 , 27 , 39,
200800035,2008,02,18,1,05 , 14 , 17 , 18 , 21,
200800036,2008,02,19,2,11 , 16 , 24 , 30 , 35,
200800037,2008,02,20,3,11 , 20 , 27 , 30 , 33,
200800038,2008,02,21,4,06 , 10 , 22 , 31 , 37,
200800039,2008,02,22,5,09 , 22 , 23 , 26 , 32,
200800040,2008,02,25,1,01 , 04 , 18 , 23 , 31,
200800041,2008,02,26,2,28 , 30 , 32 , 36 , 37,
200800042,2008,02,27,3,01 , 06 , 33 , 34 , 35,
200800043,2008,02,28,4,01 , 03 , 09 , 20 , 22,
200800044,2008,02,29,5,08 , 25 , 27 , 34 , 38,
200800045,2008,03,03,1,04 , 05 , 10 , 13 , 22,
200800046,2008,03,04,2,05 , 11 , 12 , 19 , 21,
200800047,2008,03,05,3,02 , 10 , 13 , 14 , 15,
200800048,2008,03,06,4,03 , 09 , 15 , 17 , 21,
200800049,2008,03,07,5,06 , 07 , 15 , 36 , 39,
200800050,2008,03,10,1,13 , 16 , 17 , 29 , 31,
200800051,2008,03,11,2,04 , 10 , 16 , 17 , 22,
200800052,2008,03,12,3,09 , 24 , 27 , 36 , 37,
200800053,2008,03,13,4,01 , 11 , 19 , 21 , 33,
200800054,2008,03,14,5,02 , 06 , 16 , 26 , 28,
200800055,2008,03,17,1,02 , 11 , 16 , 20 , 37,
200800056,2008,03,18,2,10 , 16 , 20 , 31 , 32,
200800057,2008,03,19,3,01 , 14 , 19 , 21 , 33,
200800058,2008,03,20,4,03 , 06 , 20 , 22 , 29,
200800059,2008,03,21,5,04 , 10 , 19 , 20 , 30,
200800060,2008,03,24,1,02 , 05 , 26 , 29 , 30,
200800061,2008,03,25,2,01 , 03 , 08 , 30 , 36,
200800062,2008,03,26,3,09 , 12 , 13 , 15 , 31,
200800063,2008,03,27,4,14 , 20 , 26 , 29 , 37,
200800064,2008,03,28,5,07 , 14 , 31 , 35 , 39,
200800065,2008,03,31,1,09 , 16 , 30 , 32 , 38,
200800066,2008,04,01,2,06 , 12 , 16 , 18 , 35,
200800067,2008,04,02,3,04 , 10 , 14 , 24 , 26,
200800068,2008,04,03,4,02 , 18 , 21 , 24 , 36,
200800069,2008,04,04,5,10 , 17 , 21 , 32 , 35,
200800070,2008,04,07,1,06 , 07 , 16 , 22 , 24,
200800071,2008,04,08,2,07 , 10 , 15 , 37 , 38,
200800072,2008,04,09,3,09 , 13 , 15 , 21 , 28,
200800073,2008,04,10,4,05 , 08 , 09 , 17 , 24,
200800074,2008,04,11,5,05 , 16 , 30 , 34 , 37,
200800075,2008,04,14,1,02 , 10 , 17 , 18 , 21,
200800076,2008,04,15,2,06 , 18 , 25 , 26 , 31,
200800077,2008,04,16,3,07 , 18 , 20 , 22 , 33,
200800078,2008,04,17,4,05 , 19 , 22 , 28 , 29,
200800079,2008,04,18,5,11 , 12 , 20 , 32 , 35,
200800080,2008,04,21,1,08 , 15 , 22 , 24 , 33,
200800081,2008,04,22,2,03 , 10 , 12 , 19 , 24,
200800082,2008,04,23,3,04 , 05 , 07 , 09 , 21,
200800083,2008,04,24,4,03 , 14 , 25 , 33 , 38,
200800084,2008,04,25,5,04 , 07 , 11 , 19 , 24,
200800085,2008,04,28,1,02 , 15 , 17 , 19 , 21,
200800086,2008,04,29,2,04 , 07 , 08 , 11 , 29,
200800087,2008,04,30,3,10 , 25 , 27 , 30 , 39,
200800088,2008,05,01,4,05 , 17 , 20 , 25 , 34,
200800089,2008,05,02,5,01 , 13 , 15 , 16 , 30,
200800090,2008,05,05,1,16 , 19 , 27 , 29 , 33,
200800091,2008,05,06,2,08 , 16 , 17 , 33 , 38,
200800092,2008,05,07,3,04 , 18 , 19 , 27 , 35,
200800093,2008,05,08,4,23 , 27 , 33 , 35 , 39,
200800094,2008,05,09,5,05 , 24 , 26 , 32 , 34,
200800095,2008,05,12,1,05 , 09 , 18 , 31 , 35,
200800096,2008,05,13,2,06 , 21 , 29 , 31 , 36,
200800097,2008,05,14,3,04 , 28 , 31 , 36 , 37,
200800098,2008,05,15,4,11 , 18 , 21 , 27 , 38,
200800099,2008,05,16,5,13 , 18 , 20 , 21 , 23,
200800100,2008,05,19,1,10 , 11 , 28 , 31 , 34,
200800101,2008,05,20,2,04 , 18 , 24 , 28 , 38,
200800102,2008,05,21,3,08 , 12 , 20 , 34 , 35,
200800103,2008,05,22,4,11 , 21 , 25 , 31 , 38,
200800104,2008,05,23,5,08 , 11 , 33 , 34 , 35,
200800105,2008,05,26,1,02 , 03 , 17 , 23 , 30,
200800106,2008,05,27,2,30 , 31 , 32 , 33 , 38,
200800107,2008,05,28,3,01 , 03 , 30 , 31 , 39,
200800108,2008,05,29,4,06 , 14 , 21 , 23 , 34,
200800109,2008,05,30,5,16 , 23 , 25 , 30 , 33,
200800110,2008,06,02,1,02 , 06 , 08 , 29 , 32,
200800111,2008,06,03,2,06 , 09 , 19 , 33 , 35,
200800112,2008,06,04,3,19 , 20 , 27 , 29 , 33,
200800113,2008,06,05,4,04 , 17 , 23 , 27 , 29,
200800114,2008,06,06,5,07 , 11 , 20 , 28 , 31,
200800115,2008,06,09,1,07 , 16 , 20 , 27 , 35,
200800116,2008,06,10,2,03 , 09 , 25 , 26 , 35,
200800117,2008,06,11,3,07 , 11 , 14 , 19 , 20,
200800118,2008,06,12,4,12 , 17 , 29 , 35 , 39,
200800119,2008,06,13,5,01 , 04 , 09 , 33 , 38,
200800120,2008,06,16,1,21 , 25 , 28 , 30 , 33,
200800121,2008,06,17,2,01 , 04 , 10 , 16 , 37,
200800122,2008,06,18,3,05 , 16 , 18 , 19 , 30,
200800123,2008,06,19,4,04 , 06 , 11 , 18 , 29,
200800124,2008,06,20,5,05 , 06 , 12 , 17 , 23,
200800125,2008,06,23,1,14 , 17 , 18 , 24 , 29,
200800126,2008,06,24,2,05 , 07 , 13 , 27 , 35,
200800127,2008,06,25,3,06 , 07 , 18 , 28 , 34,
200800128,2008,06,26,4,01 , 09 , 17 , 22 , 24,
200800129,2008,06,27,5,06 , 12 , 19 , 22 , 34,
200800130,2008,06,30,1,05 , 20 , 31 , 36 , 37,
200800131,2008,07,01,2,06 , 09 , 10 , 35 , 36,
200800132,2008,07,02,3,10 , 14 , 27 , 33 , 39,
200800133,2008,07,03,4,01 , 04 , 16 , 18 , 37,
200800134,2008,07,04,5,20 , 25 , 31 , 33 , 39,
200800135,2008,07,07,1,09 , 16 , 20 , 37 , 38,
200800136,2008,07,08,2,03 , 05 , 08 , 20 , 23,
200800137,2008,07,09,3,01 , 11 , 17 , 21 , 34,
200800138,2008,07,10,4,13 , 16 , 22 , 26 , 34,
200800139,2008,07,11,5,05 , 10 , 12 , 30 , 34,
200800140,2008,07,14,1,02 , 09 , 32 , 33 , 37,
200800141,2008,07,15,2,02 , 20 , 25 , 27 , 28,
200800142,2008,07,16,3,03 , 08 , 16 , 17 , 30,
200800143,2008,07,17,4,02 , 08 , 20 , 25 , 27,
200800144,2008,07,18,5,09 , 13 , 19 , 23 , 39,
200800145,2008,07,21,1,05 , 10 , 17 , 19 , 23,
200800146,2008,07,22,2,05 , 06 , 19 , 21 , 28,
200800147,2008,07,23,3,04 , 18 , 22 , 26 , 30,
200800148,2008,07,24,4,01 , 08 , 11 , 13 , 38,
200800149,2008,07,25,5,08 , 17 , 26 , 28 , 32,
200800150,2008,07,28,1,15 , 22 , 24 , 26 , 36,
200800151,2008,07,29,2,06 , 12 , 13 , 32 , 38,
200800152,2008,07,30,3,06 , 10 , 17 , 28 , 34,
200800153,2008,07,31,4,03 , 20 , 24 , 31 , 39,
200800154,2008,08,01,5,01 , 10 , 23 , 29 , 36,
200800155,2008,08,04,1,09 , 11 , 14 , 17 , 25,
200800156,2008,08,05,2,03 , 10 , 13 , 20 , 33,
200800157,2008,08,06,3,22 , 27 , 30 , 33 , 38,
200800158,2008,08,07,4,08 , 11 , 15 , 25 , 26,
200800159,2008,08,08,5,01 , 06 , 14 , 17 , 31,
200800160,2008,08,11,1,04 , 06 , 10 , 14 , 36,
200800161,2008,08,12,2,03 , 05 , 09 , 28 , 33,
200800162,2008,08,13,3,03 , 08 , 29 , 32 , 34,
200800163,2008,08,14,4,18 , 22 , 25 , 28 , 39,
200800164,2008,08,15,5,04 , 07 , 23 , 34 , 38,
200800165,2008,08,18,1,02 , 04 , 23 , 27 , 32,
200800166,2008,08,19,2,08 , 14 , 20 , 31 , 37,
200800167,2008,08,20,3,17 , 30 , 31 , 35 , 37,
200800168,2008,08,21,4,12 , 13 , 23 , 28 , 37,
200800169,2008,08,22,5,01 , 03 , 09 , 10 , 20,
200800170,2008,08,25,1,11 , 20 , 21 , 24 , 35,
200800171,2008,08,26,2,04 , 06 , 11 , 28 , 30,
200800172,2008,08,27,3,01 , 02 , 13 , 18 , 38,
200800173,2008,08,28,4,01 , 16 , 31 , 33 , 37,
200800174,2008,08,29,5,11 , 14 , 21 , 28 , 38,
